0	Z IY R OW
1	W AH N
10	W AH N Z IY R OW
100	W AH N Z IY R OW Z IY R OW
1000	W AH N Z IY R OW Z IY R OW Z IY R OW
11	W AH N W AH N
12	W AH N T UW
13	W AH N TH R IY
14	W AH N F OW R
15	W AH N F AY V
16	W AH N S IH K S
17	W AH N S EH V AH N
18	W AH N EY T
19	W AH N AY N
2	T UW
20	T UW Z IY R OW
200	T UW Z IY R OW Z IY R OW
21	T UW W AH N
22	T UW T UW
23	T UW TH R IY
24	T UW F OW R
25	T UW F AY V
26	T UW S IH K S
27	T UW S EH V AH N
28	T UW EY T
29	T UW N AY N
3	TH R IY
30	TH R IY Z IY R OW
31	TH R IY W AH N
32	TH R IY T UW
33	TH R IY TH R IY
34	TH R IY F OW R
35	TH R IY F AY V
36	TH R IY S IH K S
37	TH R IY S EH V AH N
38	TH R IY EY T
39	TH R IY N AY N
4	F OW R
40	F OW R Z IY R OW
41	F OW R W AH N
42	F OW R T UW
43	F OW R TH R IY
44	F OW R F OW R
45	F OW R F AY V
46	F OW R S IH K S
47	F OW R S EH V AH N
48	F OW R EY T
485	F OW R EY T F AY V
49	F OW R N AY N
5	F AY V
50	F AY V Z IY R OW
500	F AY V Z IY R OW Z IY R OW
51	F AY V W AH N
518	F AY V W AH N EY T
52	F AY V T UW
53	F AY V TH R IY
54	F AY V F OW R
55	F AY V F AY V
56	F AY V S IH K S
57	F AY V S EH V AH N
58	F AY V EY T
59	F AY V N AY N
6	S IH K S
60	S IH K S Z IY R OW
601	S IH K S Z IY R OW W AH N
61	S IH K S W AH N
62	S IH K S T UW
63	S IH K S TH R IY
64	S IH K S F OW R
65	S IH K S F AY V
66	S IH K S IH K S
67	S IH K S EH V AH N
68	S IH K S EY T
69	S IH K S N AY N
7	S EH V AH N
70	S EH V AH N Z IY R OW
71	S EH V AH N W AH N
72	S EH V AH N T UW
73	S EH V AH N TH R IY
74	S EH V AH N F OW R
75	S EH V AH N F AY V
76	S EH V AH N S IH K S
77	S EH V AH N S EH V AH N
78	S EH V AH N EY T
79	S EH V AH N AY N
8	EY T
80	EY T Z IY R OW
81	EY T W AH N
82	EY T UW
83	EY T TH R IY
84	EY T F OW R
85	EY T F AY V
86	EY T S IH K S
87	EY T S EH V AH N
88	EY T EY T
89	EY T N AY N
9	N AY N
90	N AY N Z IY R OW
91	N AY N W AH N
92	N AY N T UW
93	N AY N TH R IY
94	N AY N F OW R
95	N AY N F AY V
96	N AY N S IH K S
97	N AY N S EH V AH N
98	N AY N EY T
99	N AY N AY N
A	AH
A(2)	EY
A	AH
A(2)	EY
AA	AA
AABADI	AA B AH D IY
AAD	AA D
AADMI	AA D M IY
AAG	AA G
AAGAH	AA G AH
AAGE	AH EY JH
AAGEY	AH EY JH IY
AAGHAZ	AA AH Z
AAI	AA IY
AAIYE	AA IY AY
AAJ	AA JH
AAJAH	AA JH AH
AAKHIR	AA K AH R
