0	z iy r ow
1	w ah n
1	hh w ah n
2	t uw
3	th r iy
4	f ao r
5	f ay v
6	s ih k s
7	s eh v ah n
8	ey t
9	n ay n
10	t eh n
11	ih l eh v ah n
11	iy l eh v ah n
12	t w eh l v
13	th er t iy n
14	f ao r t iy n
15	f ih f t iy n
16	s ih k s t iy n
17	s eh v ah n t iy n
18	ey t iy n
19	n ay n t iy n
20	t w eh n t iy
21	t w eh n t iy w ah n
22	t w eh n t iy t uw
23	t w eh n t iy th r iy
24	t w eh n t iy f ao r
25	t w eh n t iy f ay v
26	t w eh n t iy s ih k s
27	t w eh n t iy s eh v ah n
28	t w eh n t iy ey t
29	t w eh n t iy n ay n
30	th er d iy
31	th er d iy w ah n
32	th er d iy t uw
33	th er d iy th r iy
34	th er d iy f ao r
35	th er d iy f ay v
36	th er d iy s ih k s
37	th er d iy s eh v ah n
38	th er d iy ey t
39	th er d iy n ay n
40	f ao r t iy
41	f ao r t iy w ah n
42	f ao r t iy t uw
43	f ao r t iy th r iy
44	f ao r t iy f ao r
45	f ao r t iy f ay v
46	f ao r t iy s ih k s
47	f ao r t iy s eh v ah n
48	f ao r t iy ey t
49	f ao r t iy n ay n
50	f ih f t iy
51	f ih f t iy w ah n
52	f ih f t iy t uw
53	f ih f t iy th r iy
54	f ih f t iy f ao r
55	f ih f t iy f ay v
56	f ih f t iy s ih k s
57	f ih f t iy s eh v ah n
58	f ih f t iy ey t
59	f ih f t iy n ay n
60	s ih k s t iy
61	s ih k s t iy w ah n
62	s ih k s t iy t uw
63	s ih k s t iy th r iy
64	s ih k s t iy f ao r
65	s ih k s t iy f ay v
66	s ih k s t iy s ih k s
67	s ih k s t iy s eh v ah n
68	s ih k s t iy ey t
69	s ih k s t iy n ay n
70	s eh v ah n t iy
71	s eh v ah n t iy w ah n
72	s eh v ah n t iy t uw
73	s eh v ah n t iy th r iy
74	s eh v ah n t iy f ao r
75	s eh v ah n t iy f ay v
76	s eh v ah n t iy s ih k s
77	s eh v ah n t iy s eh v ah n
78	s eh v ah n t iy ey t
79	s eh v ah n t iy n ay n
80	ey t iy
81	ey t iy w ah n
82	ey t iy t uw
83	ey t iy th r iy
84	ey t iy f ao r
85	ey t iy f ay v
86	ey t iy s ih k s
87	ey t iy s eh v ah n
88	ey t iy ey t
89	ey t iy n ay n
90	n ay n t iy
91	n ay n t iy w ah n
92	n ay n t iy t uw
93	n ay n t iy th r iy
94	n ay n t iy f ao r
95	n ay n t iy f ay v
96	n ay n t iy s ih k s
97	n ay n t iy s eh v ah n
98	n ay n t iy ey t
99	n ay n t iy n ay n
100	w ah n hh ah n d r ah d
200	t uw hh ah n d r ah d
1000	w ah n th aw z ah n d
2000	t uw th aw z ah n d
100000	w ah n hh ah n d r ah d th aw z ah n d z
1000000	w ah n m ih l y ah n
2000000	t uw m ih l y ah n
10000000	t eh n m ih l y ah n
100000000	w ah n hh ah n d r ah d m ih l y ah n
1000000000	w ah n b ih l y ah n
10000000000	t eh n b ih l y ah n
100000000000	w ah n hh ah n d r ah d b ih l y ah n
1000000000000	w ah n t r ih l y ah n
ZERO	Z IY R OW
ONE	W AH N
ONE(2)	HH W AH N
TWO	T UW
THREE	TH R IY
FOUR	F AO R
FIVE	F AY V
SIX	S IH K S
SEVEN	S EH V AH N
EIGHT	EY T
NINE	N AY N
TEN	T EH N
ELEVEN	IH L EH V AH N
ELEVEN(2)	IY L EH V AH N
TWELVE	T W EH L V
THIRTEEN	TH ER T IY N
FOURTEEN	F AO R T IY N
FIFTEEN	F IH F T IY N
SIXTEEN	S IH K S T IY N
SEVENTEEN	S EH V AH N T IY N
EIGHTEEN	EY T IY N
NINETEEN	N AY N T IY N
TWENTY	T W EH N T IY
TWENTY ONE	T W EH N T IY W AH N
TWENTY TWO	T W EH N T IY T UW
TWENTY THREE	T W EH N T IY TH R IY
TWENTY FOUR	T W EH N T IY F AO R
TWENTY FIVE	T W EH N T IY F AY V
TWENTY SIX	T W EH N T IY S IH K S
TWENTY SEVEN	T W EH N T IY S EH V AH N
TWENTY EIGHT	T W EH N T IY EY T
TWENTY NINE	T W EH N T IY N AY N
THIRTY	TH ER D IY
THIRTY ONE	TH ER D IY W AH N
THIRTY TWO	TH ER D IY T UW
THIRTY THREE	TH ER D IY TH R IY
THIRTY FOUR	TH ER D IY F AO R
THIRTY FIVE	TH ER D IY F AY V
THIRTY SIX	TH ER D IY S IH K S
THIRTY SEVEN	TH ER D IY S EH V AH N
THIRTY EIGHT	TH ER D IY EY T
THIRTY NINE	TH ER D IY N AY N
FORTY	F AO R T IY
FORTY ONE	F AO R T IY W AH N
FORTY TWO	F AO R T IY T UW
FORTY THREE	F AO R T IY TH R IY
FORTY FOUR	F AO R T IY F AO R
FORTY FIVE	F AO R T IY F AY V
FORTY SIX	F AO R T IY S IH K S
FORTY SEVEN	F AO R T IY S EH V AH N
FORTY EIGHT	F AO R T IY EY T
FORTY NINE	F AO R T IY N AY N
FIFTY	F IH F T IY
FIFTY ONE	F IH F T IY W AH N
FIFTY TWO	F IH F T IY T UW
FIFTY THREE	F IH F T IY TH R IY
FIFTY FOUR	F IH F T IY F AO R
FIFTY FIVE	F IH F T IY F AY V
FIFTY SIX	F IH F T IY S IH K S
FIFTY SEVEN	F IH F T IY S EH V AH N
FIFTY EIGHT	F IH F T IY EY T
FIFTY NINE	F IH F T IY N AY N
SIXTY	S IH K S T IY
SIXTY ONE	S IH K S T IY W AH N
SIXTY TWO	S IH K S T IY T UW
SIXTY THREE	S IH K S T IY TH R IY
SIXTY FOUR	S IH K S T IY F AO R
SIXTY FIVE	S IH K S T IY F AY V
SIXTY SIX	S IH K S T IY S IH K S
SIXTY SEVEN	S IH K S T IY S EH V AH N
SIXTY EIGHT	S IH K S T IY EY T
SIXTY NINE	S IH K S T IY N AY N
SEVENTY	S EH V AH N T IY
